,Time,Resistance
unit,second,ohm
0,0.0,9.9e+37
1,0.051059187,9.9e+37
2,0.098200461,9.9e+37
3,0.145620195,9.9e+37
4,0.192951926,9.9e+37
5,0.240265376,9.9e+37
6,0.287675819,9.9e+37
7,0.334818661,9.9e+37
8,0.382068696,9.9e+37
9,0.429323406,9.9e+37
10,0.476858334,9.9e+37
11,0.524084153,9.9e+37
12,0.571598744,9.9e+37
13,0.619014662,9.9e+37
14,0.666285767,9.9e+37
15,0.713612865,9.9e+37
16,0.760811277,9.9e+37
17,0.808207042,9.9e+37
18,0.855453093,9.9e+37
19,0.902733424,9.9e+37
20,0.950083781,9.9e+37
21,0.997387561,9.9e+37
22,1.044310099,9.9e+37
23,1.091571529,9.9e+37
24,1.138907795,9.9e+37
25,1.186239385,9.9e+37
26,1.23340166,9.9e+37
27,1.280768272,9.9e+37
28,1.328140627,9.9e+37
29,1.37531376,9.9e+37
30,1.422565042,9.9e+37
31,1.469213825,9.9e+37
32,1.516245283,9.9e+37
33,1.563782786,9.9e+37
34,1.611197231,9.9e+37
35,1.658458847,9.9e+37
36,1.705848076,9.9e+37
37,1.753060922,9.9e+37
38,1.800293074,9.9e+37
39,1.847597633,9.9e+37
40,1.895057902,9.9e+37
41,1.942347906,9.9e+37
42,1.989656527,9.9e+37
43,2.036971968,9.9e+37
44,2.084266576,9.9e+37
45,2.131410297,9.9e+37
46,2.178831876,9.9e+37
47,2.225974516,9.9e+37
48,2.27334284,9.9e+37
49,2.32075131,9.9e+37
50,2.570392548,9.9e+37
51,2.617683903,9.9e+37
52,2.665010485,9.9e+37
53,2.712325335,9.9e+37
54,2.75957738,9.9e+37
55,2.807166989,9.9e+37
56,2.854279803,9.9e+37
57,2.901671153,9.9e+37
58,2.948808501,9.9e+37
59,2.996336412,9.9e+37
60,3.043442883,9.9e+37
61,3.091057549,9.9e+37
62,3.139259396,9.9e+37
63,3.18663423,9.9e+37
64,3.23497465,9.9e+37
65,3.282113863,9.9e+37
66,3.329396651,9.9e+37
67,3.376529698,9.9e+37
68,3.424038176,9.9e+37
69,3.4710611,9.9e+37
70,3.518416562,9.9e+37
71,3.566066968,9.9e+37
72,3.613225231,9.9e+37
73,3.660596403,9.9e+37
74,3.707819645,9.9e+37
75,3.755183187,9.9e+37
76,3.802411532,9.9e+37
77,3.849738877,9.9e+37
78,3.89704546,9.9e+37
