,Time,Resistance
unit,second,ohm
0,0.0,4345.5248
1,0.042503239,4346.51552
2,0.079873103,4350.15424
3,0.117152371,4346.03424
4,0.154540634,4344.6256
5,0.192107777,4347.41504
6,0.2294473,4347.08512
7,0.266792538,4345.49504
8,0.304270906,4346.27488
9,0.341692601,4347.74496
10,0.379026877,4346.90528
11,0.416463078,4345.46528
12,0.453890525,4346.45504
13,0.491554515,4347.62496
14,0.529915871,4349.464
15,0.568267041,4347.05504
16,0.60591928,4343.32672
17,0.644425184,4346.39552
18,0.682908332,4345.3456
19,0.721393,4345.5552
20,0.759933869,4346.1856
21,0.798520112,4349.49376
22,0.836946108,4346.57568
23,0.875547124,4347.50528
24,0.913971667,4349.58336
25,0.952527413,4346.78528
26,0.990989894,4347.89504
27,1.029227143,4346.72512
28,1.066817138,4345.34528
29,1.105037493,4343.38656
30,1.142515043,4347.20448
31,1.180084532,4349.67328
32,1.2183702,4346.96576
33,1.255687961,4343.35584
34,1.293125338,4345.97504
35,1.330747736,4349.58304
36,1.368992453,4346.69536
37,1.406437435,4343.77632
38,1.444024348,4346.42592
39,1.482366539,4345.46592
40,1.519999376,4346.6352
41,1.558196242,4347.53504
42,1.595855878,4346.72512
43,1.634394674,4345.85504
44,1.672848317,4343.17728
45,1.711369886,4346.42496
46,1.749941041,4345.34528
47,1.788527724,4344.28672
48,1.827033253,4345.97504
49,1.865534748,4348.29408
50,1.904118784,4346.60608
51,1.942584146,4347.53472
52,1.981011806,4349.73344
53,2.019635584,4346.51552
54,2.058075052,4347.77536
55,2.096596866,4346.81536
56,2.13503309,4347.1152
57,2.173513482,4343.5968
58,2.21195838,4346.60544
59,2.250440293,4345.28512
60,2.289116056,4343.47648
61,2.327618565,4346.1856
62,2.366072137,4345.46528
63,2.404458801,4346.39584
64,2.442973414,4346.84576
65,2.481603455,4349.9136
66,2.520035154,4346.54528
67,2.558610912,4347.5648
68,2.596863992,4349.16416
69,2.635473286,4347.14496
70,2.673557968,4345.1952
71,2.711342912,4346.36576
72,2.749846368,4345.13536
73,2.78834969,4345.70496
74,2.826786383,4345.91456
75,2.865304782,4349.64352
76,2.903903693,4346.69536
77,2.942386756,4347.5952
78,2.980703378,4349.61376
79,3.019113643,4346.93504
80,3.056819401,4343.5968
81,3.095030772,4346.3056
82,3.132548218,4345.2256
83,3.171109847,4346.24512
84,3.209415622,4346.96544
85,3.247304952,4349.01376
86,3.285601196,4346.96544
87,3.324265946,4345.46528
88,3.362707862,4346.51552
89,3.401278458,4345.31552
90,3.439736193,4343.35744
91,3.478062409,4346.54592
92,3.516733995,4345.13536
93,3.554951938,4345.6752
94,3.593635161,4345.97472
95,3.63210002,4349.28384
96,3.670599233,4346.57504
97,3.709017617,4347.62496
98,3.747548029,4349.34336
99,3.785963263,4346.6352
100,3.82455522,4347.6544
101,3.863101195,4346.81504
102,3.901519704,4346.24448
103,3.939934633,4343.4176
104,3.978733089,4346.51552
105,4.017077167,4345.22496
106,4.055636935,4343.44672
107,4.093961377,4346.0048
108,4.132612146,4346.0048
109,4.171309283,4346.48576
110,4.209777954,4346.9952
111,4.247940076,4349.25376
112,4.286441913,4346.3056
113,4.325244126,4347.5952
114,4.363516053,4346.90528
115,4.401980799,4346.81536
116,4.440577053,4343.2368
117,4.479050975,4346.39488
118,4.517550758,4345.0752
119,4.556264532,4343.14688
120,4.594560909,4346.18592
121,4.633285125,4345.22496
122,4.671575038,4345.94432
123,4.710018384,4346.06496
124,4.748492873,4349.28416
125,4.787196893,4346.456
126,4.825453657,4347.26528
127,4.864242298,4349.85344
128,4.902426694,4346.81536
129,4.939849986,4343.08704
130,4.97728784,4346.09472
131,5.015848297,4347.47456
132,5.054452906,4346.39552
133,5.092903895,4347.50528
134,5.131381598,4349.52352
135,5.170031135,4346.63584
136,5.208530973,4347.83488
137,5.247028251,4346.72512
138,5.285390552,4346.96576
139,5.323824334,4343.62656
140,5.362506548,4346.42432
141,5.400946616,4345.16512
142,5.439472801,4343.29728
143,5.477753782,4346.1856
144,5.51620285,4345.43552
145,5.554767161,4346.24416
146,5.593362095,4346.69568
147,5.631833538,4349.19392
148,5.670536511,4346.21472
149,5.708891911,4347.32512
150,5.747374988,4349.40288
151,5.785887342,4346.6656
152,5.824343608,4345.91456
153,5.863057471,4346.45472
154,5.901255452,4345.34528
155,5.939830499,4343.17728
156,5.978529888,4346.27456
157,6.016948929,4344.89536
158,6.055662538,4345.52544
159,6.09399546,4345.85504
160,6.132381328,4349.28384
161,6.170783087,4346.33536
162,6.209550336,4347.32512
163,6.248032566,4349.34368
164,6.286579247,4346.54496
165,6.324843391,4347.44544
166,6.363396066,4346.66592
167,6.401839758,4346.66464
168,6.440513099,4343.17728
169,6.478997605,4346.24448
170,6.517505024,4345.16512
171,6.55578313,4343.38624
172,6.594376087,4346.12608
173,6.633026727,4345.2256
174,6.671514125,4346.36576
175,6.710032315,4347.38464
176,6.748428354,4349.19392
177,6.78703117,4346.51552
178,6.825569795,4347.65536
179,6.864009994,4347.08544
180,6.902572377,4346.75552
181,6.940952666,4343.11712
182,6.979466677,4346.15488
183,7.018120364,4345.25504
184,7.056366667,4343.02688
185,7.094820263,4346.30464
186,7.133370095,4345.22496
187,7.171784316,4346.06432
188,7.209455121,4347.35488
189,7.247865318,4349.28384
190,7.286289788,4346.63584
191,7.324915228,4347.41504
192,7.363280206,4346.27456
193,7.401657615,4345.73536
194,7.440383896,4343.20704
195,7.478996887,4346.3648
196,7.517504602,4345.13536
197,7.55588996,4344.19616
198,7.594295796,4345.73536
199,7.632966176,4347.56544
200,7.671486597,4346.42528
201,7.70980871,4347.20512
202,7.74841008,4349.28384
203,7.786951547,4346.39552
204,7.825439713,4347.65472
205,7.863943481,4346.78528
206,7.90265098,4346.87488
207,7.94090985,4343.5968
208,7.979263313,4346.27488
209,8.01785927,4344.92544
210,8.056339139,4343.17664
211,8.094746608,4346.09536
212,8.133303582,4345.37536
213,8.171717568,4345.97472
214,8.210205835,4346.45504
215,8.248485292,4349.01408
216,8.286051338,4346.57568
217,8.324725977,4346.72544
218,8.36323571,4346.39456
219,8.40162938,4345.25536
220,8.440342623,4342.93664
221,8.47863934,4346.15488
222,8.517410116,4345.1056
223,8.555537307,4345.22496
224,8.594195533,4345.85504
225,8.632702037,4349.52384
226,8.671436972,4346.36576
227,8.709861687,4347.17472
228,8.748388128,4349.46336
229,8.786654819,4346.51552
230,8.825296161,4347.5952
231,8.863740706,4346.60608
232,8.902091852,4346.51552
233,8.94089897,4343.5968
234,8.979239747,4346.12448
235,9.017733135,4345.01568
236,9.056447084,4343.02688
237,9.094651479,4345.8848
238,9.133403201,4345.0448
239,9.171604845,4346.09472
240,9.210456463,4346.75552
241,9.248900852,4349.3136
242,9.287272791,4346.51552
243,9.32586297,4347.2352
244,9.364361714,4347.80512
245,9.402514687,4346.57568
246,9.441333915,4343.86624
247,9.479797868,4346.0352
248,9.51825563,4345.16544
249,9.556848884,4342.84704
250,9.595143045,4346.24448
251,9.633645429,4344.95552
252,9.672434509,4346.00448
253,9.710829394,4345.52544
254,9.749227928,4349.04352
255,9.787423977,4346.24448
256,9.825023983,4347.5648
257,9.863549079,4346.63584
258,9.902153057,4346.3344
259,9.940866816,4343.14688
260,9.979386849,4346.0048
261,10.017620391,4345.01568
262,10.056054224,4343.08704
263,10.094899342,4345.8848
264,10.133401248,4345.16512
265,10.171824374,4346.36416
266,10.21013268,4346.9952
267,10.248588208,4349.31456
268,10.287032587,4346.30624
269,10.325823215,4347.26528
270,10.36420621,4346.90592
271,10.402621853,4346.57568
272,10.44137371,4343.05728
273,10.479722366,4346.12448
274,10.517985807,4345.16512
275,10.556832895,4342.816
276,10.594838151,4346.09408
277,10.632228173,4349.01376
278,10.669905347,4346.54432
279,10.708026132,4347.29536
280,10.745512499,4345.7648
281,10.783084467,4344.8656
282,10.82156409,4346.06496
283,10.859033595,4347.1456
284,10.897578446,4348.65376
285,10.936343223,4346.48576
286,10.974856192,4345.22496
287,11.013352657,4346.15424
288,11.051794185,4344.95552
289,11.090054301,4342.90624
290,11.128664318,4345.79488
291,11.167325891,4344.64608
292,11.205827813,4345.22496
293,11.24410305,4345.46528
294,11.282577816,4348.984
295,11.321267091,4346.06496
296,11.359831372,4347.1152
297,11.398297069,4348.98336
298,11.436572536,4346.51456
299,11.475264736,4347.38464
300,11.513615598,4346.33536
301,11.552289491,4346.54432
302,11.590381282,4343.44672
303,11.628118845,4345.97472
304,11.666465905,4345.1056
305,11.704963496,4346.12448
306,11.743429825,4346.72512
307,11.780994511,4348.86432
308,11.819594966,4346.6352
309,11.857916053,4345.73536
310,11.896404542,4346.15488
311,11.934850282,4345.34528
312,11.973358894,4342.8768
313,12.012086528,4346.12512
314,12.050493507,4344.83584
315,12.089081054,4345.31488
316,12.127564626,4345.73536
317,12.166085465,4349.16352
318,12.204551116,4346.24512
319,12.243132815,4346.96544
320,12.28134941,4349.224
321,12.319567524,4346.39584
322,12.357332543,4343.3568
323,12.39555931,4346.36576
324,12.433251989,4344.95552
325,12.471708924,4346.0048
326,12.510261132,4346.6656
327,12.548731445,4349.28384
328,12.587047824,4346.184
329,12.62482613,4347.05504
330,12.663048195,4346.30464
331,12.701657403,4345.37536
332,12.74007156,4343.20704
333,12.778645888,4346.21472
334,12.817334201,4345.01568
335,12.855742996,4345.16544
336,12.894074729,4345.91456
337,12.93260388,4349.0736
338,12.971110122,4346.36576
339,13.009734298,4347.26528
340,13.048366671,4349.4336
341,13.086698641,4346.51552
342,13.125374524,4347.5648
343,13.163564503,4346.69568
344,13.202075287,4346.84576
345,13.240858812,4343.47712
346,13.279362168,4346.30432
347,13.317828592,4345.0448
348,13.356052563,4343.05728
349,13.394841399,4345.82464
350,13.43328236,4345.13536
351,13.47183337,4345.85536
352,13.510155901,4346.36576
353,13.548612704,4349.01376
354,13.586996863,4346.27456
355,13.624722155,4347.1152
356,13.663150283,4346.18496
357,13.701485015,4345.37504
358,13.73992973,4343.08704
359,13.777368697,4345.82464
360,13.816135952,4348.1744
361,13.854610563,4346.33536
362,13.893097672,4347.26464
363,13.931510645,4349.4336
364,13.969908326,4346.3648
365,14.008566688,4347.50432
366,14.047232148,4346.54592
367,14.085546069,4346.60544
368,14.123816735,4343.2368
369,14.162399119,4346.09472
370,14.201131075,4344.77536
371,14.239645754,4342.99712
372,14.278226638,4346.0048
373,14.31650026,4344.95552
374,14.354803464,4345.76512
375,14.392383469,4347.3248
376,14.43077747,4349.61376
377,14.469510584,4346.57408
378,14.50765614,4347.65472
379,14.54536553,4346.0048
380,14.583534372,4345.1056
381,14.621082295,4346.12448
382,14.659869321,4347.02528
383,14.698401778,4349.31296
384,14.736319141,4346.30528
385,14.774076861,4343.41664
386,14.812441014,4346.3344
387,14.85010935,4344.98528
388,14.888638793,4346.0048
389,14.927087871,4345.64512
390,14.965600272,4349.04384
391,15.003899187,4346.39456
392,15.042643394,4347.20544
393,15.081122261,4349.67328
394,15.119648849,4346.6352
395,15.158064981,4347.38464
396,15.196658909,4346.81536
397,15.235080446,4346.36416
398,15.27365334,4343.2672
399,15.312210889,4346.27488
400,15.350512879,4345.04544
401,15.389253348,4343.20704
402,15.427496484,4345.94496
403,15.466153894,4344.98592
404,15.504639405,4346.09472
405,15.54278065,4346.9952
406,15.58025885,4347.9248
407,15.618782573,4347.05568
408,15.65742153,4344.46592
409,15.696027997,4346.184
410,15.734538903,4345.2848
411,15.772815827,4343.05664
412,15.811302269,4346.18496
413,15.850063508,4345.01568
414,15.888542894,4345.4352
415,15.926988903,4345.94496
416,15.965230268,4349.10336
417,16.002997307,4346.57504
418,16.041485326,4347.41504
419,16.079943498,4346.51552
420,16.118487814,4346.57472
421,16.156756085,4343.17664
422,16.195388526,4346.3344
423,16.233649717,4345.10496
424,16.27096387,4346.15424
425,16.308724482,4347.4448
426,16.347069142,4349.4032
427,16.385587676,4346.6656
428,16.423852532,4346.18464
429,16.461525752,4346.2144
430,16.500247295,4345.22496
431,16.538623879,4345.1056
432,16.576982636,4345.79552
433,16.615640611,4349.19424
434,16.653893653,4346.27584
435,16.69263613,4347.08512
436,16.730996274,4349.55328
437,16.769424952,4346.39584
438,16.808087415,4347.50528
439,16.846640376,4346.60608
440,16.885245572,4346.75584
441,16.923570768,4343.29632
442,16.962265688,4346.33408
443,17.000693094,4344.8656
444,17.038923138,4343.02688
445,17.077576952,4346.09472
446,17.116244455,4345.13536
447,17.154569292,4345.82464
448,17.193006184,4346.24576
449,17.231402671,4348.984
450,17.269876456,4346.21472
451,17.308665148,4347.20544
452,17.346949824,4349.67392
453,17.385519073,4346.63584
454,17.424012546,4347.17536
455,17.462524803,4346.39456
456,17.500988873,4345.28512
457,17.53958355,4343.29696
458,17.57790183,4346.15488
459,17.616547944,4344.95552
460,17.655007554,4344.7152
461,17.693538948,4345.7648
462,17.73208844,4348.7744
463,17.770601312,4346.3056
464,17.808887554,4347.20512
465,17.84770402,4349.43424
466,17.885922339,4346.36576
467,17.924667865,4347.38528
468,17.963325155,4346.42528
469,18.001608843,4346.72512
470,18.040123613,4343.50624
471,18.078527054,4346.21536
472,18.116948129,4344.8656
473,18.15567887,4343.08704
474,18.193811889,4346.0352
475,18.232611248,4344.83584
476,18.271054563,4346.06496
477,18.309571597,4346.06496
478,18.347958534,4349.07424
479,18.386638693,4346.12512
480,18.424899787,4347.17536
481,18.463380153,4349.73344
482,18.500789516,4345.4048
483,18.538477352,4344.13632
484,18.57697592,4345.61536
485,18.615268055,4346.99552
486,18.653794967,4346.42592
487,18.692202981,4346.93568
488,18.730680133,4349.224
489,18.769385829,4346.06496
490,18.807959761,4347.4448
491,18.846395931,4346.6656
492,18.884721443,4346.72544
493,18.923536723,4343.17664
494,18.961900925,4346.27488
495,19.000482458,4345.13536
496,19.038845532,4343.1168
497,19.077286009,4346.12512
498,19.115805263,4345.07584
499,19.154257548,4345.70496
500,19.192976331,4345.88416
501,19.231155745,4349.2528
502,19.269953755,4346.33536
503,19.308299398,4347.32512
504,19.34693291,4349.61344
505,19.385482409,4346.60448
506,19.423955807,4347.41504
507,19.462335909,4346.48544
508,19.500753804,4345.79552
509,19.539561083,4343.29696
510,19.578040105,4346.3648
511,19.616510815,4345.0752
512,19.65480589,4344.31584
513,19.693535505,4345.94432
514,19.731908549,4347.41504
515,19.770317244,4346.24608
516,19.808692569,4347.14496
517,19.84638197,4346.90592
518,19.884815352,4346.87552
519,19.923240858,4343.2672
520,19.961659782,4345.82528
521,20.000352421,4343.5072
522,20.038389547,4340.40768
523,20.075950856,4340.8672
524,20.113410915,4344.376
525,20.151069449,4339.8976
526,20.189573728,4336.91904
527,20.228088981,4339.62784
528,20.266493453,4337.85824
529,20.305144445,4336.2592
530,20.343700133,4339.35904
531,20.382074441,4339.2672
532,20.42060185,4341.94624
533,20.459003051,4344.25632
534,20.497416706,4346.6656
535,20.738361138,4343.47456
536,20.776726948,4346.12256
537,20.814235177,4349.0416
538,20.852657672,4346.39392
539,20.891152982,4347.26304
540,20.929640743,4349.64096
541,20.968211562,4346.57216
542,21.006642302,4345.07264
543,21.045391406,4344.76352
544,21.08363818,4272.05088
545,21.122336515,4303.41952
546,21.160646115,4324.9808
547,21.199402843,4317.49376
548,21.237652946,4295.75232
549,21.276133479,4268.23296
550,21.314668003,4262.45568
551,21.353420611,4259.32672
552,21.391940697,4259.2368
553,21.430425905,4261.49504
554,21.468958374,4258.81632
555,21.507437233,4267.53312
556,21.545684176,4268.05216
557,21.584302516,4266.39392
558,21.622906731,4261.97504
559,21.661453623,4264.224
560,21.699740496,4261.46496
561,21.738204434,4256.31776
562,21.776817917,4258.9072
563,21.81548035,4257.6768
564,21.853788461,4258.39648
565,21.89214185,4258.69632
566,21.930670546,4261.16544
567,21.969116761,4257.6464
568,22.007870784,4258.42624
569,22.046197832,4260.7056
570,22.084942453,4257.12736
571,22.123019427,4257.00768
572,22.160573378,4255.9584
573,22.199035472,4254.36768
574,22.237667084,4253.94816
575,22.276349543,4254.99744
576,22.314630631,4257.3168
577,22.353101469,4254.87808
578,22.391691608,4255.53824
579,22.429971771,4257.61664
580,22.468636368,4254.54784
581,22.507306002,4255.65824
582,22.545665842,4254.00768
583,22.583947685,4253.9088
584,22.621518522,4250.06048
585,22.659963021,4252.70944
586,22.698576646,4250.81984
587,22.737015547,4244.83168
588,22.775494877,4243.2128
589,22.814010886,4250.75936
590,22.852656287,4252.02016
591,22.891194868,4253.27936
592,22.929426955,4256.10784
593,22.967964118,4252.91936
594,23.006515259,4253.63872
595,23.045254716,4161.04352
596,23.083702311,4151.98784
597,23.122045737,4134.36416
598,23.160529127,4118.4896
599,23.198942687,4102.72672
600,23.236416446,4101.91552
601,23.275116534,4097.048
602,23.313526665,4097.34752
603,23.351994646,4094.33888
604,23.390406742,4090.28128
605,23.429124229,4087.84128
606,23.467528255,4086.2128
607,23.505832642,4082.6336
608,23.544325447,4085.19264
609,23.58166355,4083.75296
610,23.619281003,4083.30304
611,23.657774855,4082.12384
612,23.696410819,4083.27328
613,23.734695441,4078.69536
614,23.773222365,4078.51552
615,23.81173683,4075.74656
616,23.850219424,4074.66656
617,23.888649925,4071.29888
618,23.927462603,4073.46656
619,23.965732311,4072.2288
620,24.004288524,4068.46944
621,24.042957601,4070.81888
622,24.08114647,4069.16896
623,24.119829854,4070.30848
624,24.158274837,4070.9392
625,24.196651157,4070.99872
626,24.234087733,4067.48032
627,24.272871331,4064.74112
628,24.311356774,4065.89024
629,24.34984111,4065.37088
630,24.388279418,4062.4016
631,24.426625101,4066.12992
632,24.464951742,4064.62112
633,24.502701778,4066.33984
634,24.541293564,4065.44032
635,24.579348459,4067.33056
636,24.61688246,4060.44192
637,24.655688859,4054.42496
638,24.694037455,4057.85408
639,24.73266786,4054.36512
640,24.770918749,4053.13472
641,24.809408685,4054.66528
642,24.847864125,4055.51424
643,24.886633288,4055.30432
644,24.925331971,4054.85472
645,24.963757137,4046.00768
646,25.001933801,4036.11232
647,25.04048125,4027.6048
648,25.079223346,4030.00448
649,25.117664678,4024.656
650,25.156252394,4022.27776
651,25.19414622,4011.81184
652,25.231840625,4007.6656
653,25.270311488,3996.36
654,25.309040477,3994.9408
655,25.347525365,3992.42176
656,25.385800037,3990.25216
657,25.424367246,3983.6656
658,25.462768252,3980.17632
659,25.500445047,3963.51296
660,25.538953632,3960.23424
661,25.577433821,3961.86304
662,25.615560277,3954.91552
663,25.652998263,3937.59232
664,25.69032694,3929.0464
665,25.727857994,3930.88416
666,25.765530965,3927.72576
667,25.803655805,3926.97664
668,25.841321205,3928.08672
669,25.879640055,3904.05568
670,25.917027397,3894.5792
671,25.955619883,3893.7696
672,25.994007888,3896.11808
673,26.031532769,3892.71936
674,26.069995223,3891.93952
675,26.10860778,3880.75424
676,26.147339044,3881.17408
677,26.185813741,3875.81664
678,26.223995201,3868.80928
679,26.262626108,3858.88256
680,26.301285514,3851.75552
681,26.339753925,3854.07424
682,26.378347308,3848.7168
683,26.41656249,3852.26528
684,26.454955369,3849.8656
685,26.493787629,3848.32704
686,26.532063759,3846.4368
687,26.570742302,3839.87968
688,26.609320316,3832.78208
689,26.647595206,3827.6048
690,26.686044487,3825.26528
691,26.72477918,3816.41952
692,26.763026798,3815.96896
693,26.801764678,3815.51936
694,26.84023808,3815.99904
695,26.878645056,3815.51872
696,26.917007557,3810.25152
697,26.955761434,3810.73152
698,26.994361555,3810.01152
699,27.032565387,3808.27136
700,27.071115049,3811.19072
701,27.109483869,3812.62976
702,27.148062994,3811.55008
703,27.186779179,3815.36896
704,27.225331799,3817.77824
705,27.26357485,3819.57792
706,27.301953295,3816.02848
707,27.339648992,3815.0096
708,27.378141555,3815.42848
709,27.416547403,3814.55008
710,27.455021094,3808.96096
711,27.493664111,3814.52928
712,27.532136796,3811.4608
713,27.570648794,3807.40224
714,27.609230456,3808.18176
715,27.647651038,3806.07328
716,27.686248666,3804.81312
717,27.7243176,3804.84256
718,27.761827559,3805.74336
719,27.800327188,3798.85536
720,27.839106744,3797.74592
721,27.877479629,3615.06176
722,27.915938081,3497.81728
723,27.954343866,3434.6432
724,27.99283437,3423.87904
725,28.031598566,3394.14304
726,28.069939295,3384.57824
727,28.108442939,3380.6704
728,28.146866682,3380.34048
729,28.185564878,3377.90208
730,28.223766685,3378.11168
731,28.262092257,3379.35136
732,28.299977194,3380.25024
733,28.338480939,3393.45344
734,28.376860118,3429.86624
735,28.415506649,3432.6944
736,28.454031596,3442.64896
737,28.492380367,3451.30304
738,28.530701552,3464.95584
739,28.568324313,3501.67552
740,28.606559944,3606.00704
741,28.643989378,3706.41056
742,28.68155232,3739.33728
743,28.719738152,3724.27488
744,28.75730533,3598.7312
745,28.794991147,3556.39488
746,28.833510095,3556.6048
747,28.871681097,3538.74496
748,28.910336379,3526.00224
749,28.94893399,3532.87808
750,28.987480618,3528.85088
751,29.025907328,3521.30496
752,29.064468746,3515.58816
753,29.102819577,3485.40448
754,29.141239288,3472.74144
755,29.179850607,3463.42656
756,29.218329619,3383.3488
757,29.256763464,3381.35968
758,29.295367431,3381.11968
759,29.333730378,3377.6624
760,29.372479972,3376.49248
761,29.410988577,3373.664
762,29.44954117,3372.45472
763,29.487989248,3369.48672
764,29.526369287,3371.37536
765,29.564980499,3372.21536
766,29.603390491,3372.31488
767,29.641835549,3372.19488
768,29.680388729,3365.72896
769,29.718843592,3364.1296
770,29.757028712,3363.73984
771,29.794660995,3365.96864
772,29.833313016,3364.45952
773,29.871917183,3363.3504
774,29.910095273,3367.01824
775,29.948635533,3367.73824
776,29.98736432,3361.33152
777,30.025890394,3357.00384
778,30.064411444,3357.60352
779,30.102867746,3358.60352
780,30.141427849,3359.4128
781,30.179874299,3362.24096
782,30.218158079,3361.51136
783,30.256743978,3361.00224
784,30.295129719,3360.85184
785,30.333622143,3357.06336
786,30.371019713,3354.11552
787,30.409644211,3353.96544
788,30.448031727,3352.40672
789,30.48665361,3350.74688
790,30.525064952,3352.79648
791,30.56362591,3351.89728
792,30.602033434,3352.37664
793,30.640423434,3352.0768
794,30.677794828,3355.11456
795,30.715348739,3352.37664
796,30.75382995,3350.17728
797,30.792228287,3352.46656
798,30.82980524,3351.47712
799,30.86829719,3352.61632
800,30.906808626,3353.18624
801,30.94534407,3354.93472
802,30.983724074,3352.61632
803,31.021397366,3351.10656
804,31.059752547,3352.55616
805,31.098458592,3351.83712
806,31.136768697,3349.99744
807,31.17534439,3352.43648
808,31.213634334,3351.47712
809,31.252234395,3351.77696
810,31.290902796,3352.1968
811,31.329424003,3354.84512
812,31.367801282,3352.49664
813,31.406120399,3353.15616
814,31.44483483,3354.93504
815,31.483241545,3352.61664
816,31.521768408,3353.42624
817,31.56030012,3352.67648
818,31.598737641,3352.67616
819,31.637249183,3349.96736
820,31.675639186,3352.2864
821,31.714127722,3351.50688
822,31.7525034,3349.93728
823,31.790051181,3352.6464
824,31.828492712,3354.78496
825,31.866045348,3352.79616
826,31.904613309,3352.5264
827,31.943066024,3352.3168
828,31.981527365,3351.86688
829,32.020119413,3349.96736
830,32.058716594,3352.25632
831,32.097280582,3351.5072
832,32.135541274,3351.44704
833,32.174058083,3351.92704
834,32.212511291,3354.66464
835,32.250973822,3352.43648
836,32.289703569,3353.09632
837,32.3282786,3354.78464
838,32.366505603,3352.46656
839,32.404954932,3353.27616
840,32.443454331,3352.58688
841,32.480966878,3351.6272
842,32.519386009,3349.87744
843,32.558104744,3352.19648
844,32.596486838,3351.74688
845,32.635097713,3352.1968
846,32.673618182,3352.46656
847,32.712131363,3354.54496
848,32.750583361,3352.40672
849,32.789048191,3353.15616
850,32.827468821,3354.72512
851,32.865896063,3352.79648
852,32.904636221,3353.60576
853,32.943122585,3352.49664
854,32.981551519,3351.74688
855,33.020055148,3349.8176
856,33.058408822,3352.1968
857,33.097069146,3351.3872
858,33.135406634,3350.86688
859,33.174025661,3351.9568
860,33.21243803,3353.60576
861,33.250891905,3352.31648
862,33.289442278,3352.8864
863,33.328245818,3354.8448
864,33.366601827,3352.2864
865,33.404891407,3353.30592
866,33.44343879,3352.7664
867,33.481815699,3352.73632
868,33.519507665,3349.66752
869,33.558073824,3352.10688
870,33.596272014,3351.1472
871,33.635027943,3351.8368
872,33.673542567,3352.04672
873,33.711641874,3354.08576
874,33.749141396,3352.73664
875,33.787949103,3353.12608
876,33.826265335,3352.34688
877,33.864865981,3352.01664
878,33.903350727,3349.99744
879,33.941907398,3352.16672
880,33.980420476,3351.22688
881,34.018831677,3350.23712
882,34.057455341,3351.98688
883,34.095904145,3352.10688
884,34.134346228,3352.37664
885,34.173007736,3352.82656
886,34.211228519,3354.78496
887,34.249855437,3352.4064
888,34.288417245,3353.1264
889,34.326996457,3352.85632
890,34.365449,3352.67648
891,34.403960536,3349.78752
892,34.442295578,3352.3168
893,34.480806393,3351.50688
894,34.519269732,3349.57792
895,34.557836794,3352.1968
896,34.596389362,3351.11744
897,34.634758725,3351.8368
898,34.673374631,3351.5968
899,34.711924307,3354.20544
900,34.750454337,3352.10656
901,34.788983378,3352.79616
902,34.827339756,3354.35552
903,34.865884151,3352.34656
904,34.904273868,3352.8864
