,Time,Resistance
unit,second,ohm
0,0.0,4.1729616
1,0.019646047,4.16597408
2,0.039447927,4.1535424
3,0.059283267,4.14648352
4,0.07910431,4.14944448
5,0.098894142,4.14946848
6,0.118535974,4.15260992
7,0.138506167,4.14419328
8,0.158414972,4.14013184
9,0.17809535,4.14318144
10,0.197926338,4.14071136
11,0.21777847,4.14714912
12,0.237552672,4.1417936
13,0.257296158,4.13744416
14,0.277067955,4.13385632
15,0.29688171,4.13066048
16,0.31678446,4.12788544
17,0.336670337,4.1268848
18,0.356468863,4.1275088
19,0.376413613,4.12719712
20,0.396300257,4.1261392
21,0.416151398,4.12447488
22,0.435961239,4.1233792
23,0.455731496,4.12132128
24,0.475411101,4.12166368
25,0.495266854,4.12121536
26,0.51505145,4.12010816
27,0.534854788,4.11988224
28,0.554664935,4.11926368
29,0.574475141,4.11922208
30,0.594365587,4.11926368
31,0.614190014,4.11804384
32,0.633970353,4.11807392
33,0.653731105,4.117064
34,0.673462308,4.11619616
35,0.693111712,4.11644032
36,0.712851723,4.11505216
37,0.732775699,4.11491008
38,0.752665138,4.11072288
39,0.898025364,4.11037504
40,0.917841275,4.1100832
41,0.937524041,4.11109344
42,0.957070546,4.10975328
43,0.976676027,4.10951936
44,0.996321487,4.11029088
45,1.015851704,4.10843712
46,1.035495292,4.10869536
47,1.055096583,4.10713344
48,1.074765603,4.1081616
49,1.094339215,4.1081376
50,1.113980604,4.1074256
51,1.13385702,4.10716864
52,1.15356834,4.10696512
53,1.173377848,4.10661312
54,1.193208245,4.1066256
55,1.212953613,4.10572768
56,1.232891309,4.1061696
57,1.252561561,4.106792
58,1.272175406,4.10542208
59,1.291712237,4.10438144
60,1.311297454,4.10527808
61,1.33081526,4.10504544
62,1.350366689,4.10590752
63,1.369910864,4.10474016
64,1.3895064,4.10444736
65,1.409123401,4.104776
66,1.428704118,4.10471584
67,1.448341682,4.10415936
68,1.468154664,4.10446496
69,1.487899894,4.10321376
70,1.507580076,4.1043216
71,1.527301111,4.10369984
72,1.547027534,4.1035856
73,1.566805506,4.10297024
74,1.586583057,4.10388384
75,1.606391101,4.10330976
76,1.626246285,4.10284384
77,1.64608953,4.10374176
78,1.665789584,4.10282624
79,1.685575983,4.10254368
80,1.705470827,4.102784
81,1.725342292,4.103232
82,1.745158448,4.102832
83,1.764904197,4.1023904
84,1.784780242,4.10216224
85,1.804572114,4.10227584
86,1.824411371,4.10215616
87,1.844140461,4.10231744
88,1.990437461,4.10188576
89,2.010464401,4.10134784
90,2.030338083,4.10112608
91,2.050220122,4.1014432
92,2.070037455,4.10184384
93,2.08982106,4.1021072
94,2.109572138,4.10092416
95,2.12932277,4.10055776
96,2.149030318,4.09994112
97,2.168714413,4.100624
98,2.188356419,4.100648
99,2.208071311,4.09976768
100,2.227795083,4.09983968
101,2.247471524,4.10087584
102,2.26717313,4.1004496
103,2.286824133,4.10006144
104,2.306468711,4.09913344
105,2.326222046,4.09934368
106,2.345805296,4.0994816
107,2.365597783,4.09943392
108,2.385333854,4.09930176
109,2.405142142,4.09977952
110,2.42495347,4.09888352
111,2.444878077,4.098848
112,2.464642477,4.09893184
113,2.484512927,4.09857792
114,2.504319588,4.09836832
115,2.524268461,4.09888992
116,2.544061483,4.09839168
117,2.564051105,4.09944576
118,2.583808855,4.09973152
119,2.603468688,4.09879968
120,2.623153822,4.09824384
121,2.642697281,4.0988656
122,2.662357411,4.09837376
123,2.682026117,4.09804
124,2.701723144,4.098608
125,2.721373793,4.09798624
126,2.741098727,4.097536
127,2.760743455,4.09869152
128,2.780327926,4.09898368
129,2.799937463,4.09756608
130,2.819532441,4.0977344
131,2.839154744,4.09838592
132,2.858745471,4.09758432
133,2.878319259,4.09800384
134,2.897892916,4.09835616
135,2.917393003,4.09799136
136,2.936946667,4.097208
137,2.956546441,4.09744032
138,3.102152856,4.09671072
139,3.121708368,4.0965024
140,3.141366972,4.09761472
141,3.160913407,4.09708224
142,3.180726473,4.09661472
143,3.200367242,4.09696256
144,3.220102945,4.09661056
145,3.239880288,4.09729856
146,3.25971264,4.09667456
147,3.279447556,4.0955504
148,3.299246799,4.09699264
149,3.319022103,4.09731424
150,3.338854268,4.0965024
151,3.358383006,4.09649088
152,3.378140743,4.09658048
153,3.39797111,4.09644896
154,3.417797698,4.0958624
155,3.437616988,4.09698688
156,3.457507614,4.09641824
157,3.477420302,4.09663264
158,3.497329241,4.09606464
159,3.517314352,4.09609472
160,3.537231325,4.09625088
161,3.557115284,4.09596256
162,3.576821626,4.09583296
163,3.596554275,4.09564672
164,3.616494798,4.09488096
165,3.63638403,4.09625088
166,3.656168623,4.09556928
167,3.675903882,4.09613024
168,3.695823714,4.09453856
169,3.715731211,4.09572448
170,3.735492159,4.0958272
171,3.755284899,4.09551488
172,3.775130881,4.09498944
173,3.79510297,4.09573664
174,3.814961691,4.09547296
175,3.835023999,4.09657472
176,3.854942402,4.09513888
177,3.874807767,4.0965024
178,3.894761362,4.0956224
179,3.914653822,4.09580288
180,3.934584814,4.09503712
181,3.954353714,4.09587488
182,3.974173737,4.09533504
183,3.993928467,4.09528064
184,4.013643332,4.0957008
185,4.033244285,4.09519296
186,4.05290683,4.09512416
187,4.384813012,4.09436416
188,4.40452487,4.09440672
189,4.424266054,4.09428032
190,4.443976147,4.09444224
191,4.463692199,4.09494432
192,4.483570236,4.0950704
193,4.503387785,4.09497408
194,4.523155515,4.09451488
195,4.54283716,4.0944544
196,4.562517538,4.09483008
197,4.582268672,4.09313824
198,4.601899763,4.09422624
199,4.621591331,4.095016
200,4.641424981,4.0943824
201,4.661177101,4.09501024
202,4.680981365,4.0945024
203,4.70081656,4.0937424
204,4.720611407,4.09402848
205,4.74034099,4.09428704
206,4.760036198,4.09418496
207,4.779830703,4.09337088
208,4.799592199,4.09349056
209,4.819476887,4.0935088
210,4.839336099,4.09464448
211,4.859055089,4.09331648
212,4.878739323,4.09404032
213,4.898443198,4.09409472
214,4.918022502,4.0935568
215,4.937796488,4.09396832
216,4.957557908,4.09398656
217,4.97733427,4.0939088
218,4.997122655,4.09322688
219,5.016951201,4.09319648
220,5.036721194,4.09420832
221,5.056442208,4.09400448
222,5.076357774,4.09429792
223,5.096245254,4.09373632
224,5.115925096,4.09371232
225,5.135795861,4.09302432
226,5.155772411,4.09217504
227,5.30142225,4.09292896
228,5.321181149,4.09370048
229,5.340959677,4.0938864
230,5.360680037,4.0939984
231,5.380468832,4.0931744
232,5.400225359,4.09275488
233,5.420082507,4.09285056
234,5.439880126,4.09378496
235,5.459734287,4.09366528
236,5.479562948,4.0932928
237,5.499496051,4.09277248
238,5.519391749,4.09259264
239,5.539243033,4.09370048
240,5.558982876,4.0928688
241,5.57881812,4.09265312
242,5.598556038,4.0937424
243,5.618254379,4.09279104
244,5.638075495,4.0936528
245,5.657883633,4.0922352
246,5.677655331,4.09247488
247,5.697507152,4.09307232
248,5.717414035,4.09299456
249,5.737289962,4.09285056
250,5.757066464,4.0927248
251,5.776731089,4.09398016
252,5.796452885,4.09369472
253,5.816180965,4.09281504
254,5.835913666,4.09328032
255,5.855691057,4.0932688
256,5.875372668,4.09162528
257,5.894905308,4.09206112
258,5.914614369,4.09221696
259,5.93446342,4.09359872
260,5.954265169,4.09228288
261,5.973976925,4.09276672
262,5.993685396,4.09238496
263,6.013357561,4.09212064
264,6.03305329,4.09273056
265,6.052804149,4.09248128
266,6.072582271,4.09215744
267,6.092256782,4.09248672
268,6.11197209,4.09249248
269,6.131693079,4.0918688
270,6.151443645,4.0923008
271,6.171149921,4.09122368
272,6.190803569,4.09184544
273,6.210589036,4.0917392
274,6.230274733,4.0923008
275,6.249981642,4.0917568
276,6.395632759,4.09169088
277,6.415509053,4.09185888
278,6.435384613,4.0915408
279,6.455399328,4.09248064
280,6.475314165,4.09312064
281,6.495173628,4.09163712
282,6.514955544,4.09266464
283,6.534745963,4.09199488
284,6.554554594,4.09184736
285,6.574223324,4.09147488
286,6.594046265,4.0925888
287,6.614026453,4.09122464
288,6.633904585,4.09169088
289,6.653793287,4.0930128
290,6.673543298,4.09167968
291,6.693360952,4.09124768
292,6.713169897,4.09112256
293,6.732958934,4.09315648
294,6.752831017,4.0921568
295,6.772652673,4.09174496
296,6.792464633,4.09142112
297,6.812230791,4.09148128
298,6.832075411,4.09158912
299,6.851848975,4.09102112
300,6.871700578,4.09134336
301,6.891562192,4.09171488
302,6.91130512,4.09140288
303,6.93113416,4.09153504
304,6.9509155,4.09140288
305,6.970719578,4.09120704
306,6.990417899,4.09185888
307,7.01023491,4.09158912
308,7.030073491,4.09181696
309,7.050078549,4.0918528
