,Time,Resistance
unit,second,ohm
0,0.0,3.41266208
1,0.019729769,3.41291328
2,0.03942421,3.41222048
3,0.059044482,3.41205216
4,0.078580566,3.413672
5,0.098166494,3.4122384
6,0.117869982,3.41232832
7,0.137611214,3.4120464
8,0.157357625,3.41291904
9,0.303417119,3.41189216
10,0.323336183,3.41210016
11,0.343214768,3.41162944
12,0.362860002,3.41158176
13,0.382634599,3.4127392
14,0.402376759,3.41252448
15,0.422079495,3.41115104
16,0.441998609,3.41167776
17,0.461759581,3.41195616
18,0.481333355,3.41208256
19,0.500909104,3.4129552
20,0.520686319,3.41184928
21,0.54032451,3.41192192
22,0.560072325,3.41188576
23,0.579969723,3.41217216
24,0.599748457,3.41222624
25,0.619638389,3.41091296
26,0.639500731,3.41223264
27,0.659467345,3.41137152
28,0.679370309,3.41213056
29,0.699227233,3.4122864
30,0.719042198,3.41112096
31,0.738735354,3.41098528
32,0.758384919,3.41288896
33,0.778418311,3.41146144
34,0.798310945,3.41109696
35,0.818007919,3.4123344
36,0.837747906,3.4120464
37,0.857401072,3.41282304
38,0.877138965,3.41150944
39,0.896852178,3.41245824
40,0.916767208,3.41213632
41,0.936532063,3.41199808
42,0.956323284,3.41213632
43,0.976067291,3.41172384
44,0.996008564,3.41203424
45,1.015864362,3.4118736
46,1.035790639,3.41161184
47,1.055564544,3.41087712
48,1.075276553,3.41218432
49,1.094797491,3.41145568
50,1.114386207,3.41155776
51,1.13394395,3.41103104
52,1.153597235,3.41106688
53,1.173208843,3.4104704
54,1.192721481,3.41116896
55,1.212361905,3.41103104
56,1.231951917,3.4115456
57,1.251719764,3.41067904
58,1.397606215,3.41165376
59,1.417156797,3.41173504
60,1.436794466,3.41146784
61,1.45636427,3.41162336
62,1.476020777,3.4114256
63,1.495863192,3.41137728
64,1.51583186,3.41122208
65,1.535588286,3.41170528
66,1.555318936,3.41122208
67,1.575075642,3.41167168
68,1.594644869,3.41078688
69,1.614356293,3.41075072
70,1.633847604,3.4109968
71,1.653410654,3.4103616
72,1.673078956,3.41026816
73,1.692712781,3.41022016
74,1.712465507,3.40981184
75,1.732010732,3.41078688
76,1.751704071,3.40986592
77,1.77141837,3.409992
78,1.791251794,3.40840032
79,1.811075171,3.4092384
80,1.830942768,3.41106624
81,1.850604256,3.40933472
82,1.87048287,3.40932832
83,1.890152412,3.40915424
84,1.909835698,3.40870624
85,1.929595101,3.40848448
86,1.949314754,3.40854432
87,1.968871443,3.4079104
88,1.988586585,3.40861056
89,2.008349868,3.40914208
90,2.02807073,3.40913024
91,2.047900421,3.40861056
92,2.067700792,3.40931616
93,2.087446127,3.407992
94,2.10727759,3.409112
95,2.126947476,3.40846048
96,2.14659153,3.40925632
97,2.166263058,3.4079104
98,2.186018818,3.40853216
99,2.205769264,3.408088
100,2.225637159,3.40870624
101,2.245364308,3.40844832
102,2.265181168,3.40904
103,2.284957997,3.40877024
104,2.304551437,3.40729824
105,2.324380678,3.40794624
106,2.344000366,3.40793408
107,2.36366037,3.40806944
108,2.694666587,3.40807552
109,2.714355951,3.40835168
110,2.734081055,3.408736
111,2.753780418,3.40752608
112,2.773579469,3.40774816
113,2.79327071,3.40750176
114,2.812996291,3.40779616
115,2.832821897,3.4076944
116,2.8526285,3.40877824
117,2.872350462,3.40712
118,2.89217387,3.40889536
119,2.912006034,3.40693984
120,2.931685733,3.40924384
121,2.951489626,3.40717984
122,2.971127713,3.40800608
123,2.991020975,3.40862208
124,3.01073693,3.40792224
125,3.03056814,3.40757984
126,3.050419883,3.40755584
127,3.070203849,3.407784
128,3.08998019,3.40900928
129,3.109784334,3.40806368
130,3.129558431,3.40801216
131,3.149179489,3.40840608
132,3.168876127,3.4074
133,3.18857586,3.40896736
134,3.20830423,3.40712608
135,3.227956873,3.40663936
136,3.247659302,3.40800608
137,3.267436805,3.40726976
138,3.287372917,3.40733984
139,3.306992221,3.40764576
140,3.326646858,3.40743584
141,3.346321117,3.40715584
142,3.366161932,3.40697568
143,3.385870455,3.40738784
144,3.405500348,3.40732768
145,3.425302381,3.40648
146,3.445117775,3.4089616
147,3.465044342,3.40799424
148,3.611046683,3.40758592
149,3.6307439,3.40732768
150,3.65048901,3.40684928
151,3.670267795,3.40892512
152,3.69008456,3.40735776
153,3.709869716,3.40640832
154,3.729725301,3.4073456
155,3.749548324,3.40732768
156,3.769415743,3.40720992
157,3.789128587,3.40780192
158,3.808745371,3.40687968
159,3.82841486,3.40685568
160,3.848161667,3.40717408
161,3.867827005,3.40666976
162,3.887526903,3.40654944
163,3.907341346,3.4080272
164,3.92705844,3.40724608
165,3.946774438,3.40765216
166,3.966538589,3.4074176
167,3.986433602,3.40726368
168,4.006241969,3.406072
169,4.025961173,3.40719776
170,4.04586902,3.40804576
171,4.065566044,3.40671168
172,4.085338634,3.40712608
173,4.104969502,3.40828544
174,4.124594942,3.40718592
175,4.144352489,3.40775968
