,Time,Resistance
unit,second,ohm
0,0.0,4400.39712
1,0.040518694,4399.46688
2,0.077876666,4400.6064
3,0.115452311,4402.47648
4,0.152968839,4401.09856
5,0.191217931,4400.128
6,0.228701326,4397.96864
7,0.266207814,4402.29696
8,0.304829546,4404.33536
9,0.343071492,4401.30848
10,0.380571152,4397.44736
11,0.419224049,4400.96672
12,0.457598369,4399.31776
13,0.496209228,4397.50688
14,0.53473768,4401.00864
15,0.572992136,4399.37696
16,0.610466101,4401.12896
17,0.649093768,4402.41664
18,0.687520259,4404.91744
19,0.725972908,4401.12832
20,0.763605512,4397.44736
21,0.802064747,4400.78624
22,0.840647818,4399.048
23,0.878985782,4398.92768
24,0.917444883,4400.54688
25,0.955916608,4404.21536
26,0.994570365,4400.69568
27,1.032841946,4402.08736
28,1.070204556,4400.93664
29,1.10758229,4398.98784
30,1.145008984,4400.36704
31,1.182404949,4401.90784
32,1.219722289,4400.63712
33,1.257130796,4399.168
34,1.294582797,4401.11584
35,1.332050826,4403.13568
36,1.370318075,4401.4576
37,1.407792294,4399.3168
38,1.445135065,4400.75648
39,1.482778116,4402.11712
40,1.52135375,4405.03744
41,1.559874148,4401.14592
42,1.59830634,4402.44672
43,1.63691282,4400.84672
44,1.675255283,4399.61664
45,1.713843255,4397.29728
46,1.75240498,4400.87648
47,1.790883315,4398.83776
48,1.829400699,4399.40736
49,1.867747615,4400.81632
50,1.905304762,4404.33504
51,1.94377989,4401.24864
52,1.982201409,4402.68608
53,2.020668796,4401.24864
54,2.058068062,4399.3472
55,2.09657043,4397.35744
56,2.134134631,4401.84768
57,2.172679668,4404.12608
58,2.211164199,4401.30848
59,2.249405291,4402.56704
60,2.287045046,4400.90624
61,2.325396833,4399.34752
62,2.364005697,4397.2384
63,2.40253966,4400.63616
64,2.441012749,4398.688
65,2.479552206,4400.21728
66,2.517937048,4400.48736
67,2.556539435,4404.09568
68,2.594809441,4401.02592
69,2.632439812,4402.5664
70,2.670940199,4400.97888
71,2.709456585,4399.82752
72,2.747932952,4397.35776
73,2.786441655,4400.60736
74,2.824927573,4399.19776
75,2.863262082,4398.44864
76,2.901844905,4400.69664
77,2.940464905,4403.58656
78,2.978983083,4400.81632
79,3.017534655,4402.3568
80,3.055923285,4404.12608
81,3.094258738,4401.02592
82,3.132943931,4402.47648
83,3.171580164,4401.09856
84,3.20996801,4400.72608
85,3.248256381,4397.26752
86,3.285705511,4400.66656
87,3.324481364,4398.86816
88,3.363002128,4400.87648
89,3.4014229,4401.99712
90,3.439885932,4404.09568
91,3.478272127,4401.11616
92,3.516972804,4402.95648
93,3.555428424,4401.608
94,3.593687001,4401.18848
95,3.63244592,4397.38656
96,3.67090957,4400.84672
97,3.709367718,4399.07808
98,3.747804422,4397.44736
99,3.786414839,4400.69664
100,3.824997534,4399.31744
101,3.863252465,4400.75648
102,3.901755859,4401.33824
103,3.940363778,4404.12544
104,3.97895422,4400.936
105,4.017461735,4401.99712
106,4.05572445,4403.52672
107,4.094122311,4401.08608
108,4.131768008,4397.26752
109,4.170274982,4400.51712
110,4.208728783,4398.65824
111,4.247075542,4400.12704
112,4.284742318,4402.29696
113,4.323277591,4404.33504
114,4.361554492,4401.24864
115,4.400124909,4402.5968
116,4.43868543,4401.15872
117,4.477153329,4400.24704
118,4.515708609,4397.32768
119,4.554201264,4400.60608
120,4.592423951,4399.22752
121,4.62986772,4401.12896
122,4.668596276,4402.23744
123,4.707105153,4404.00544
124,4.74559949,4400.99616
125,4.784036115,4402.83648
126,4.822212112,4400.99616
127,4.859955458,4399.07712
128,4.898520612,4397.2672
129,4.936946739,4400.54688
130,4.975480016,4399.0176
131,5.013974674,4400.54624
132,5.052463726,4401.3984
133,5.090758784,4404.03552
134,5.128298367,4400.99616
135,5.166806446,4399.79776
136,5.20529166,4400.39712
137,5.243787792,4398.0288
138,5.282262802,4397.23744
139,5.320825445,4400.57664
140,5.359358967,4398.92736
141,5.397711937,4400.33696
142,5.435194191,4402.08704
143,5.473712264,4404.21568
144,5.512193092,4400.84608
145,5.550701732,4402.17664
146,5.58908337,4400.816
147,5.627774565,4399.70816
148,5.666240312,4397.29792
149,5.704690103,4400.66592
150,5.743426884,4395.49856
151,5.781643441,4398.26848
152,5.820263956,4147.30368
153,5.858813258,4403.88576
154,5.897155741,4400.72608
155,5.935582575,4402.05728
156,5.973051325,4400.99616
157,6.01160987,4401.08608
158,6.050210875,4397.8192
159,6.088495962,4400.63712
160,6.126036298,4399.25792
161,6.164562965,4400.66656
162,6.202994498,4401.63808
163,6.241471477,4404.06528
164,6.280013025,4401.05568
165,6.31859522,4402.536
166,6.357094686,4402.35744
167,6.395397212,4401.12832
168,6.433925758,4397.3568
169,6.471381829,4400.54688
170,6.509855078,4398.74816
171,6.548245741,4400.42688
172,6.585775924,4402.23744
173,6.624129268,4404.5152
174,6.661694803,4400.00768
175,6.700095153,4397.26816
176,6.738687678,4400.60608
177,6.777221845,4398.9872
178,6.815704971,4397.96928
179,6.854221766,4400.75648
180,6.892732449,4399.97696
181,6.931123549,4400.6368
182,6.969742405,4401.96736
183,7.008254267,4403.91616
184,7.046815313,4400.81632
185,7.084985109,4402.5968
186,7.12263752,4400.18688
187,7.161137418,4398.05856
188,7.199601318,4341.84864
189,7.237952813,4359.6832
190,7.275483773,4099.47648
191,7.313864391,3983.35328
192,7.351445538,3927.05024
193,7.38983227,3868.18656
194,7.427207044,4070.81568
195,7.465858871,4386.68064
196,7.504236933,4385.3312
197,7.542590022,4404.03552
198,7.580129985,4401.056
199,7.618655407,4402.50688
200,7.656055299,4400.39712
201,7.693478119,4398.9872
202,7.731998594,4400.60704
203,7.77030943,4402.11712
204,7.807831932,4403.0768
205,7.846474024,4401.21888
206,7.88498022,4397.65664
207,7.923443172,4400.63616
208,7.961894861,4399.25728
209,8.00043945,4396.93856
210,8.039047921,4397.0576
211,8.077356551,4398.92768
212,8.114808488,4400.75648
213,8.153301968,4402.14752
214,8.191774453,4404.76704
215,8.230277264,4401.05568
216,8.268754029,4402.26656
217,8.306248661,4400.48736
218,8.344760798,4398.74752
219,8.383173373,4398.56832
220,8.421682991,4400.42688
221,8.46023599,4404.03552
222,8.498755586,4400.84608
223,8.537177434,4402.0272
224,8.575674647,4404.03616
225,8.614027236,4400.7872
226,8.651555287,4397.11776
227,8.690112656,4400.39744
228,8.728710854,4399.31744
229,8.76712559,4397.08736
230,8.805610715,4400.57632
231,8.844063787,4399.22752
232,8.881578682,4400.99616
233,8.920107449,4402.56704
234,8.958497727,4401.87744
235,8.99706871,4391.47008
236,9.035577878,4394.6
237,9.073937634,4400.33696
238,9.112619874,4398.17856
239,9.151065233,4397.088
240,9.189505662,4400.30656
241,9.228013981,4399.1376
242,9.266485929,4400.39712
243,9.304972594,4400.94912
244,9.343674501,4404.06592
245,9.382071914,4400.90624
246,9.420581258,4402.14752
247,9.458970306,4403.88608
248,9.497571124,4401.056
249,9.535969451,4399.19712
250,9.573293445,4400.54688
251,9.610711686,4404.00576
252,9.648230377,4399.88768
253,9.686978888,4401.81728
254,9.725175978,4400.63616
255,9.763766775,4400.78624
256,9.802272267,4397.41696
257,9.84073163,4400.57664
258,9.879218098,4399.19712
259,9.917672063,4395.34912
260,9.955128692,4401.3984
261,9.99359656,4121.63904
262,10.032124768,4396.24864
263,10.070564026,4402.62688
264,10.107847974,4400.36704
265,10.145409568,4342.50784
266,10.183873269,4298.64928
267,10.221375235,4131.08704
268,10.259545203,4139.08384
269,10.297224891,4399.94784
270,10.335739577,4397.208
271,10.374270421,4400.42624
272,10.41296265,4399.28704
273,10.451409819,4397.63968
274,10.489822751,4293.84128
275,10.528369361,4044.28224
276,10.566789993,4074.72416
277,10.605233101,4384.34272
278,10.64376065,4399.88832
279,10.682250119,4390.84096
280,10.720741575,4390.76896
281,10.759268851,4332.10112
282,10.797827514,4400.96576
283,10.836285348,4397.23776
284,10.874760041,4400.48672
285,10.913187884,4399.10752
286,10.951858476,4396.8784
287,10.990238501,4400.39712
288,11.028931186,4398.29888
289,11.067108731,4400.2768
290,11.104438769,4402.5664
291,11.142189797,4392.48928
292,11.180616252,4391.38048
293,11.219156967,4394.75008
294,11.257446965,4393.44832
295,11.295988152,4398.80864
296,11.33466375,4400.6368
297,11.373012095,4400.48736
298,11.411521471,4404.12544
299,11.450005455,4400.72672
300,11.488491091,4401.9376
301,11.527027526,4404.58752
302,11.565635534,4400.936
303,11.60390062,4386.53088
304,11.641456182,4399.4672
305,11.679874838,4358.29152
306,11.717286544,4360.432
307,11.755787216,4377.72416
308,11.794441438,4403.82624
309,11.832920071,4400.936
310,11.871443869,4402.50624
311,11.909866443,4401.02592
312,11.948311316,4400.87584
313,11.986805359,4397.35744
314,12.024283653,4400.6064
315,12.062609917,4398.74848
316,12.10010277,4400.7856
317,12.138518356,4402.23744
318,12.175987672,4400.39648
319,12.21345667,4398.62784
320,12.251931866,4399.73792
321,12.290432925,4400.36672
322,12.328907592,4404.06592
323,12.366351992,4401.02592
324,12.404822249,4402.47712
325,12.44325447,4400.84672
326,12.480599881,4399.31776
327,12.518252712,4400.66688
328,12.55685709,4401.9376
329,12.59505455,4404.06528
330,12.63256925,4401.08608
331,12.671045519,4397.5968
332,12.70957193,4400.69664
333,12.74792376,4399.25728
334,12.785202416,4400.45664
335,12.822896411,4402.32672
336,12.861597483,4404.5152
337,12.899920596,4401.14592
338,12.938282451,4402.44672
339,12.976967469,4400.78624
340,13.015449012,4399.85792
341,13.053863642,4397.14752
342,13.092189133,4400.48672
343,13.129788698,4401.72768
344,13.168244743,4400.90624
345,13.206674454,4402.05728
346,13.244141842,4401.2784
347,13.282630293,4401.11616
348,13.319993837,4397.08736
349,13.357443989,4400.84608
350,13.395982182,4403.94592
351,13.434448017,4400.99616
352,13.472992747,4401.78816
353,13.511730896,4405.06688
354,13.55021185,4400.7568
355,13.588475963,4401.17568
356,13.626950337,4400.48736
357,13.66547415,4399.1376
358,13.703927105,4397.1776
359,13.741353839,4400.36672
360,13.779831702,4404.00544
361,13.817182774,4401.08608
362,13.855899478,4402.62688
363,13.894311179,4400.84608
364,13.932860086,4400.72672
365,13.971461393,4397.14752
366,14.009919719,4400.36704
367,14.048322505,4399.04736
368,14.086870583,4396.87808
369,14.125380124,4400.21728
370,14.163832141,4399.9472
371,14.202292551,4389.78016
372,14.24078388,4391.47008
373,14.279131265,4346.26624
374,14.317819977,4318.35488
375,14.356251618,4398.95808
376,14.394903437,4399.52672
377,14.433205184,4401.08608
378,14.471912544,4397.56704
379,14.510435778,4400.39712
380,14.548893889,4399.04736
381,14.587431867,4396.99744
382,14.62588281,4400.60736
383,14.664414798,4398.77824
384,14.702897996,4400.6064
385,14.741357227,4401.63776
386,14.779869982,4403.94592
387,14.818051125,4400.90624
388,14.855730556,4398.65824
389,14.894103741,4400.63712
390,14.932715259,4399.22752
391,14.971223033,4397.44736
392,15.009735201,4400.33728
393,15.048227926,4398.77824
394,15.08667393,4400.6368
395,15.125261851,4400.45664
396,15.163771837,4404.15584
397,15.202257765,4400.78624
398,15.240765929,4401.93696
399,15.279242724,4404.79744
400,15.317757072,4401.056
401,15.35625738,4402.05728
402,15.394790894,4400.54688
403,15.433296034,4399.28704
404,15.47179406,4397.11808
405,15.510264985,4400.36704
406,15.54888274,4398.74816
407,15.587267143,4399.34656
408,15.625750587,4400.21728
409,15.664226429,4404.00576
410,15.702585717,4400.99616
411,15.740150761,4402.56704
412,15.778663498,4400.81632
413,15.81715291,4400.51712
414,15.855670587,4397.17728
415,15.894146201,4400.48736
416,15.932731849,4399.04736
417,15.971158584,4397.11776
418,16.009671601,4400.42688
419,16.048232988,4400.03712
420,16.086671871,4400.54624
421,16.125084615,4401.78816
422,16.163616888,4403.82624
423,16.202113389,4400.72608
424,16.240620568,4402.80672
425,16.279047032,4401.18848
426,16.317660883,4401.02624
427,16.356152956,4397.14688
428,16.394654856,4400.51712
429,16.433159621,4399.07712
430,16.471695236,4396.7584
431,16.510201377,4400.3072
432,16.54866658,4398.95808
433,16.587046501,4400.4864
434,16.625619878,4401.42816
435,16.664256494,4403.67616
436,16.702695932,4400.75584
437,16.74122622,4402.2368
438,16.77960046,4401.9376
439,16.818163206,4400.93664
440,16.856680529,4397.14752
441,16.895162774,4400.57664
442,16.933443817,4398.98784
443,16.970925193,4400.3072
444,17.009556863,4400.36672
445,17.048032126,4403.91552
446,17.086417795,4400.78656
447,17.124962023,4401.96736
448,17.163390913,4404.97696
449,17.202007221,4401.08544
450,17.240535914,4401.96736
451,17.278980964,4400.66688
452,17.317280113,4399.4672
453,17.354919936,4398.95744
454,17.393463123,4400.45664
