,Time,Resistance
unit,second,ohm
0,0.0,4393.70464
1,0.038551308,4395.03552
2,0.076828102,4394.76512
3,0.114572309,4398.97376
4,0.153093601,4395.66464
5,0.191459087,4396.71424
6,0.229926377,4395.63424
7,0.268474321,4394.97568
8,0.306941962,4391.6368
9,0.34546043,4395.33536
10,0.383817242,4393.61472
11,0.421287034,4395.06528
12,0.458712646,4396.98336
13,0.497237509,4397.3136
14,0.535783244,4395.4848
15,0.574215006,4391.81632
16,0.612940326,4395.18496
17,0.651467684,4393.3744
18,0.689648036,4391.6064
19,0.72815158,4395.30528
20,0.765616066,4399.21344
21,0.804100051,4395.33504
22,0.842581748,4396.984
23,0.881087861,4399.12352
24,0.918352379,4395.36512
25,0.955945322,4391.45664
26,0.994367052,4395.09536
27,1.031790411,4399.12352
28,1.070103874,4395.42528
29,1.107391652,4393.79392
30,1.145098715,4395.39488
31,1.182521034,4399.27392
32,1.220712692,4395.33504
33,1.258196526,4396.98336
34,1.295834557,4395.18496
35,1.334231427,4393.55456
36,1.371622986,4395.18496
37,1.409199234,4396.8336
38,1.447760091,4399.6928
39,1.486227198,4395.60512
40,1.524882062,4396.47424
41,1.56337104,4395.57472
42,1.60148322,4394.06432
43,1.639202326,4392.92544
44,1.677634644,4395.24512
45,1.716021916,4398.43456
46,1.754418706,4395.4848
47,1.791963,4397.04352
48,1.830434277,4395.87456
49,1.868801265,4395.90464
50,1.906157313,4391.36672
51,1.943768404,4395.33504
52,1.982211391,4399.09312
53,2.020745384,4395.45504
54,2.059296844,4397.13344
55,2.097875749,4399.78336
56,2.13640587,4395.78464
57,2.174805741,4396.68416
58,2.213098053,4395.36512
59,2.250686811,4393.82432
60,2.289165044,4393.28512
61,2.327655519,4395.21536
62,2.365956808,4397.95456
63,2.403580622,4395.57472
64,2.441907335,4397.0736
65,2.479437248,4395.5152
66,2.517961377,4393.67488
67,2.55649833,4391.72608
68,2.594946252,4395.33536
69,2.633481543,4393.98624
70,2.671957775,4395.12512
71,2.710488687,4395.57472
72,2.748865763,4399.12352
73,2.786170723,4395.78464
74,2.823849125,4391.90624
75,2.862334775,4395.24512
76,2.900751703,4393.91456
77,2.939344115,4393.10496
78,2.97778463,4395.09536
79,3.016462518,4397.46336
80,3.054829623,4395.5152
81,3.093261899,4396.92384
82,3.131913633,4399.33408
83,3.170200559,4395.6944
84,3.208760028,4397.22304
85,3.247310151,4395.90464
86,3.285838636,4395.9648
87,3.324106392,4391.84608
88,3.361790809,4395.33504
89,3.400161989,4393.94432
90,3.438668686,4395.39488
91,3.477127442,4395.78528
92,3.515673181,4398.97376
93,3.554122557,4395.60448
94,3.592665791,4396.80416
95,3.630996966,4399.69344
96,3.668545477,4393.8848
97,3.707055164,4391.84576
98,3.745376327,4395.39488
99,3.782800354,4398.73376
100,3.820243841,4395.57472
101,3.857734238,4391.30656
102,3.896230505,4395.27552
103,3.934798305,4393.5248
104,3.973225318,4391.6368
105,4.010739543,4395.27488
106,4.049127634,4398.97376
107,4.087621001,4395.39488
108,4.126142044,4396.71392
109,4.164674258,4399.3936
110,4.203379104,4395.8144
111,4.241538686,4396.71392
112,4.279035275,4395.24448
113,4.317556422,4393.8544
114,4.356043504,4392.83552
