,Time,Resistance
unit,second,ohm
0,0.0,2.3804576
1,0.019680578,2.38031984
2,0.039411195,2.38052752
3,0.059150684,2.3811336
4,0.078861387,2.38009168
5,0.098554939,2.38007968
6,0.118295588,2.37970384
7,0.138069758,2.37936192
8,0.157753897,2.37921184
9,0.177430947,2.3800616
10,0.197155312,2.378304
11,0.216972072,2.37918192
12,0.236655417,2.378932
13,0.25647137,2.37892
14,0.27644092,2.37905808
15,0.296382284,2.37890832
16,0.316138041,2.37877008
17,0.335917448,2.378572
18,0.355783657,2.378572
19,0.37574807,2.37907632
20,0.395593931,2.37889616
21,0.415365991,2.37719584
22,0.435034778,2.37800432
23,0.454732631,2.37834592
24,0.474521884,2.37904
25,0.494440505,2.3779864
26,0.514460129,2.37842816
27,0.534440596,2.3783984
28,0.554445686,2.37766384
29,0.574472463,2.37795632
30,0.594267889,2.37788416
31,0.614161843,2.37717824
32,0.633859187,2.37713024
33,0.653614365,2.37722016
34,0.673411336,2.37774064
35,0.693231715,2.37718432
36,0.713056339,2.37852432
37,0.732877805,2.37732816
38,0.752548987,2.37708192
39,0.772120383,2.37542672
40,0.79205658,2.37722608
41,0.812015524,2.37658592
42,0.831896883,2.37680192
43,0.851807266,2.37692208
44,0.871779198,2.37682624
45,0.891626557,2.37636608
46,1.039149223,2.376396
47,1.058958287,2.3757624
48,1.078775871,2.37599584
49,1.098476241,2.37646192
50,1.118129615,2.37562416
51,1.137991243,2.376432
52,1.158006744,2.37617392
53,1.177910927,2.37621616
54,1.19760204,2.37561232
55,1.217282038,2.37517024
56,1.236972299,2.37596016
57,1.256633174,2.37560016
58,1.276334267,2.37595408
59,1.296037847,2.37565424
60,1.315572077,2.37541648
61,1.335237879,2.37633616
62,1.355001617,2.37560016
63,1.37488816,2.37533824
64,1.394545078,2.37633616
65,1.414163258,2.37536256
66,1.433843904,2.37444064
67,1.453589911,2.37608
68,1.473469256,2.37468624
69,1.493350454,2.37500864
70,1.513368818,2.37546448
71,1.533354915,2.37508032
72,1.553353879,2.37479856
73,1.573399697,2.37499648
74,1.593425453,2.3745368
75,1.613480398,2.3753504
76,1.63350361,2.37468624
77,1.653488894,2.37508608
78,1.673461776,2.37496064
79,1.693473267,2.37552832
80,1.713453272,2.37490656
81,1.733316084,2.37497264
82,1.753149139,2.37541024
