,Time,Resistance
unit,second,ohm
0,0.0,3.77138272
1,0.019594839,3.76898752
2,0.039053462,3.7644368
3,0.058821104,3.76056672
4,0.078419141,3.75994592
5,0.098001803,3.75844064
6,0.11782174,3.76887968
7,0.137485824,3.77688864
8,0.157171949,3.77162176
9,0.303055122,3.77276768
10,0.322723155,3.77104896
11,0.342449355,3.7713104
12,0.362084549,3.77217632
13,0.38179621,3.77064768
14,0.4013714,3.77143648
15,0.420945322,3.77159168
16,0.440740569,3.77006208
17,0.460504426,3.77052192
18,0.480049543,3.77070144
19,0.499728658,3.7717056
20,0.519287287,3.77067776
21,0.538852802,3.77094688
22,0.558619715,3.7702
23,0.578164455,3.76969344
24,0.597885499,3.77028416
25,0.617609117,3.76926816
26,0.637149458,3.76890496
27,0.656575088,3.76870112
28,0.676008153,3.76761824
29,0.695515547,3.76789504
30,0.7149712,3.76716608
31,0.734604705,3.76730912
32,0.754068404,3.76636544
33,0.774030863,3.76828992
34,0.793630822,3.7675312
35,0.813286597,3.76700384
36,0.832879721,3.76776896
37,0.852489792,3.76670016
38,0.872158224,3.76730336
39,0.891766499,3.76680864
40,0.911339214,3.76778656
41,0.93089551,3.76721408
42,0.950597488,3.76730336
43,0.970249378,3.7674112
44,0.989950179,3.76666432
45,1.009663358,3.76600224
46,1.029127611,3.76650944
47,1.048630626,3.76628128
48,1.068116592,3.76661632
49,1.087552433,3.76634112
50,1.107172541,3.76655136
51,1.126792313,3.76688032
52,1.14646442,3.76538688
53,1.165955213,3.7663952
54,1.185455872,3.76635936
55,1.204874987,3.76575616
56,1.224579867,3.76645536
57,1.244072344,3.76629312
58,1.263640656,3.76358432
59,1.595465953,3.76427104
60,1.615068041,3.76272384
61,1.634495077,3.76383424
62,1.65391835,3.7628976
63,1.673444784,3.76328544
64,1.692987174,3.76388224
65,1.712532532,3.76400224
66,1.731943791,3.76296384
67,1.751417408,3.7637984
68,1.770828372,3.76274176
69,1.790292452,3.76317152
70,1.809890742,3.76362624
71,1.829382444,3.76340416
72,1.848780076,3.76400832
73,1.868405159,3.76291552
74,1.888062767,3.76317152
75,1.907851116,3.76367808
76,1.927505105,3.76272384
77,1.947095138,3.76269344
78,1.966683882,3.7622352
79,1.986333254,3.76314784
80,2.005881058,3.76279584
81,2.025614668,3.76269344
82,2.045220206,3.76088928
83,2.064923891,3.76205472
84,2.084635279,3.76135008
85,2.104169392,3.76147008
86,2.123795541,3.76160608
87,2.143406729,3.76200064
88,2.162935666,3.7609376
89,2.182472546,3.76088928
90,2.201941416,3.75991072
91,2.221458707,3.76005472
92,2.241101068,3.75971392
93,2.260657258,3.75978016
94,2.280216326,3.75956384
95,2.299810025,3.75808832
96,2.319314068,3.75972608
97,2.338948048,3.7584064
98,2.358909887,3.75700768
99,2.50416629,3.75706144
100,2.524060418,3.75716416
101,2.543808432,3.75718784
102,2.563307765,3.75805856
103,2.582993575,3.75758176
104,2.602666054,3.75756384
105,2.622227959,3.7568288
106,2.641976598,3.75585056
107,2.661572477,3.75670336
108,2.68121525,3.75684736
109,2.700885024,3.75736576
110,2.720367914,3.75678112
111,2.740104705,3.7560224
112,2.759690963,3.7566032
113,2.779276759,3.75654912
114,2.798913186,3.75566432
115,2.818469729,3.75577856
116,2.837998401,3.75604032
117,2.857663346,3.7568112
118,2.877203191,3.75614848
119,2.89674395,3.75582048
120,2.916245188,3.75538944
121,2.93583391,3.75571232
122,2.955276723,3.75566432
123,2.974988212,3.75623872
124,2.994554541,3.75546144
125,3.013993206,3.75586208
126,3.033531615,3.75636896
127,3.052990307,3.75593408
128,3.072515648,3.75467904
129,3.091982081,3.7556704
130,3.111529442,3.75494176
131,3.130988529,3.75574208
132,3.15056914,3.75517536
133,3.170152538,3.753872
134,3.189694275,3.75413632
135,3.209557546,3.75445888
136,3.22926004,3.75485312
137,3.248669173,3.75379616
138,3.268350142,3.7549472
139,3.287792532,3.75374208
140,3.307373672,3.7542608
141,3.326923076,3.75411232
142,3.346499087,3.75416
143,3.366137783,3.75409408
144,3.385619532,3.75410016
145,3.405288294,3.75365216
146,3.424852171,3.75452512
147,3.444519978,3.75373024
148,3.464147224,3.7530976
149,3.609681908,3.75350208
150,3.629438995,3.75306112
151,3.649238487,3.75325088
152,3.668922821,3.753592
153,3.688458752,3.75346112
154,3.707891519,3.75384736
155,3.727464061,3.75333504
156,3.747000617,3.75316704
157,3.766629939,3.75266624
158,3.786089416,3.7529952
159,3.805935167,3.7532208
160,3.8256233,3.75261792
161,3.845179936,3.75356192
162,3.864990127,3.75314304
163,3.884821318,3.75251616
164,3.904327931,3.7530256
165,3.924048538,3.753616
166,3.943872199,3.7531488
167,3.963591673,3.752672
168,3.983493526,3.75296544
169,4.003318795,3.7528992
170,4.023334455,3.7530976
171,4.042965893,3.75254016
172,4.062534387,3.75306112
173,4.08204875,3.75325088
174,4.101582721,3.7533648
175,4.121275666,3.75350208
176,4.141086852,3.75358624
177,4.160789546,3.75349024
178,4.180491713,3.75314304
179,4.200056171,3.75365216
180,4.219551938,3.75167584
181,4.239372461,3.75343712
182,4.258972699,3.7532928
183,4.278583852,3.7529536
184,4.298144904,3.752432
185,4.317773522,3.75264224
186,4.337301197,3.75191968
187,4.357007772,3.75273216
188,4.376635136,3.75187136
189,4.396146454,3.75303136
190,4.415689704,3.75232064
191,4.435156443,3.75240448
192,4.454677249,3.75236256
193,4.474215014,3.75258816
194,4.49375304,3.75262432
195,4.513207088,3.75255808
196,4.532832816,3.752528
197,4.55248976,3.75251872
198,4.698679321,3.75211328
199,4.718233642,3.7516944
200,4.73789535,3.75226912
201,4.757512861,3.75238688
202,4.77701584,3.75240448
203,4.796690014,3.75134816
204,4.816589251,3.75104352
205,4.836278807,3.75172416
206,4.855986024,3.75207136
207,4.876021554,3.75253088
208,4.89587667,3.75176
209,4.915560169,3.75149888
210,4.935112115,3.75182592
211,4.954591313,3.75167008
212,4.974163888,3.7513664
213,4.993742798,3.75219168
214,5.013531536,3.75154656
215,5.033317005,3.75192256
216,5.05304684,3.75140864
217,5.072681193,3.75155264
218,5.092260387,3.75241664
219,5.111962398,3.7520592
220,5.131582822,3.75002912
221,5.151226708,3.75145632
222,5.170884008,3.75204128
223,5.190748627,3.75271584
224,5.210401372,3.7513424
225,5.230062988,3.7514624
226,5.249601935,3.75154048
227,5.269239452,3.75168224
228,5.288939637,3.75204736
229,5.308963167,3.75188608
230,5.328899072,3.75284224
231,5.348667659,3.75120544
232,5.368373585,3.75187424
233,5.387988397,3.75072768
234,5.407635183,3.75170592
235,5.427325505,3.75202912
236,5.447078862,3.74979616
237,5.466810646,3.7514928
238,5.486555019,3.75224544
239,5.506222275,3.75239904
240,5.525865902,3.75148064
241,5.54562056,3.75167584
242,5.565365373,3.75140224
243,5.585075862,3.75192832
244,5.604779042,3.75224544
245,5.624662604,3.75114528
246,5.644424912,3.751904
247,5.664133438,3.7509296
248,5.809795193,3.75162816
249,5.829407495,3.75085984
250,5.849188321,3.75083584
251,5.868854462,3.75107392
252,5.888568239,3.75109728
253,5.90832472,3.75096576
254,5.928166747,3.75182656
255,5.948025464,3.75118784
256,5.967832624,3.75033888
257,5.987505465,3.75213152
258,6.007255264,3.75138432
259,6.027005933,3.75096576
260,6.046624866,3.7514384
261,6.066049418,3.75051904
262,6.085598314,3.7519344
263,6.105292961,3.75089568
264,6.12498456,3.75120576
265,6.14486649,3.75069184
266,6.164762004,3.75155872
267,6.184442504,3.7509232
268,6.204111158,3.7502272
269,6.223646253,3.75102592
270,6.243113167,3.75202336
271,6.262578759,3.75166464
272,6.281972931,3.7509232
273,6.301543622,3.75103168
274,6.321064434,3.75170048
275,6.340921346,3.7508176
276,6.360585147,3.7517248
277,6.380147552,3.7512
278,6.399944122,3.75157024
279,6.419660349,3.7515888
280,6.439322695,3.75230528
281,6.458998372,3.75048928
282,6.478665077,3.75090784
283,6.498160861,3.750848
284,6.517772129,3.7504832
285,6.537305773,3.75091776
286,6.557225225,3.75123008
287,6.576992277,3.75131232
288,6.59669218,3.75142688
289,6.616495361,3.75126464
290,6.636157278,3.7510016
